"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"DALEX: Lokalne, brzegowe i globalne objaśnienia złożonych modeli uczenia maszyn";"dr hab. Przemysław Biecek";"2018-08-08";"2021-08-07";"
    •  budżet - NCN

";542660;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych

";"
    •  Koszykowa 75, Warszawa

";"W trakcie realizacji";
"Wpływ rodzaju oraz ilości użytego surfaktantu na właściwości wysokoporowatych rusztowań typu cementowego do zastosowań w inżynierii tkanki kostnej.";"Ewelina Magdalena Cichoń";"2018-08-08";"2021-08-07";"
    •  budżet - NCN

";205800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Realistyczne symulacje numeryczne dwu-płynowej granulacji Słońca w częściowo zjonizowanej plazmie";"mgr inż. Dariusz Patryk Wójcik";"2018-08-03";"3 lata";"
    •  budżet - NCN

";86400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Idziego Radziszewskiego 10, Lublin

";"W trakcie realizacji";
"Pedogeneza i przemiany minerałów w glebach zasobnych w węglan wapnia w ujęciu badań interdyscyplinarnych na obszarze polskich Karpat";"Joanna Beata Kowalska";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";135100;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Rolniczo-Ekonomiczny

";"
    •  Aleja Adama Mickiewicza 21, Kraków

";"W trakcie realizacji";
"Polowanie na Galaktyczne pevatrony z obserwatorium HAWC";"dr hab. Sabrina Casanova";"2018-08-03";"2021-08-02";"
    •  budżet - NCN

";954800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Generatory promieniowania sub-terahercowego oparte na sprzężonych oscylatorach Gunna";"mgr Dmitriy Yavorskiy";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";140 000,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Nowe mikro- i nanokrystaliczne materiały luminoforowe oraz dielektryki mikrofalowe oparte na wybranych matrycach szelitowych";"Magdalena Maciejkowicz";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie

";"
    •  Piastów 17, Szczecin

";"W trakcie realizacji";
"Badanie mechanizmu inkorporacji selenu do struktury egzopolisacharydów pochodzenia grzybowego oraz wpływu tego zjawiska na ich aktywność biologiczną.";"mgr Sandra Górska";"2018-08-03";"2020-08-02";"
    •  budżet - NCN

";140000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Warszawski Uniwersytet Medyczny; Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej

";"
    •  Stefana Banacha 1, Warszawa

";"W trakcie realizacji";
"Zbadanie rozkładu wielkości organizmów planktonowych oraz ich rozmieszczenia przestrzennego w Arktyce w relacji do gradientów środowiskowych - doskonalenie metodyki badań";"dr Emilia Małgorzata Trudnowska";"2018-08-01";"2019-07-31";"
    •  budżet - MNiSW

";217800;"Projekt finansowany przez ministra właściwego do spraw nauki";"Mobilność Plus; edycja 5";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Nieliniowe równania z operatorem curl-curl";"dr hab. Jarosław Szymon Mederski";"2018-08-01";"2023-07-31";"
    •  budżet - NCN

";1090012;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Matematyczny Polskiej Akademii Nauk

";"
    •  Jana i Jędrzeja Śniadeckich 8, Warszawa

";"W trakcie realizacji";
"Trójwymiarowe izolatory topologiczne napromieniowane wiązką elektronową.";"Myroslava Mykolaivna Omelchenko";"2018-08-01";"2021-07-31";"
    •  budżet - NCN

";209860;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Plastyczność ekologiczna kluczowych gatunków zooplanktonu w Arktyce (ecoPlast)";"dr Emilia Małgorzata Trudnowska";"2018-07-31";"2021-08-30";"
    •  budżet - NCN

";577700;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Badanie właściwości detoksykacyjnych nanocząstek selenu w odniesieniu do różnych form chemicznych rtęci z wykorzystaniem nowych metod analitycznych";"Magdalena Bartosiak";"2018-07-31";"2 lata";"
    •  budżet - NCN

";134380;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Chemiczny

";"
    •  Stanisława Noakowskiego 3, Warszawa

";"W trakcie realizacji";
"Szybkie układy scalone do precyzyjnego pomiaru czasu w strukturach pikselowych w technologiach nanometrycznych.";"dr Bogdan Staszewski";"2018-07-31";"2 lata";"
    •  budżet - NCN

";1828600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Elektrotechniki, Automatyki, Informatyki i Inżynierii Biomedycznej

";"
    •  Aleja Adama Mickiewicza 30/B-1, Kraków

";"W trakcie realizacji";
"Charakterystyka fazowa i fizykochemiczna oraz właściwości sorpcyjne osadów żelazistych z procesów uzdatniania wody.";"Magdalena Wołowiec";"2018-07-31";"2 lata";"
    •  budżet - NCN

";133510;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Nowa metoda przewidywania wartości funkcji termodynamicznych dla minerałów z grupy apatytów";"Bartosz Puzio";"2018-07-31";"2 lata";"
    •  budżet - NCN

";199765;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geologii, Geofizyki i Ochrony Środowiska

";"
    •  Aleja Adama Mickiewicza 30/A-0, Kraków

";"W trakcie realizacji";
"Efektywne metody percepcji sceny w czasie rzeczywistym w oparciu o analizę danych wielomodalnych oraz nienadzorowane uczenie cech";"dr hab. Bogdan Wiesław Kwolek";"2018-07-31";"2 lata";"
    •  budżet - NCN

";898780;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji

";"
    •  Aleja Adama Mickiewicza 30/D-17, Kraków

";"W trakcie realizacji";
"Mechanizmy koordynacji cyklu komórkowego bakterii - trop DiaA";"dr Monika Glinkowska";"2018-07-31";"2 lata";"
    •  budżet - NCN

";1033400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Biologii

";"
    •  Wita Stwosza 59, Gdańsk

";"W trakcie realizacji";
